ID,Bureaux,"Region, Pays",City delimitor position,Region delimitor pos,Region,Country,Address
575,"Thales near  Rockingham,  Western Australia,  Australia","Rockingham,  Western Australia,  Australia",11,31,"Rockingham,  Western Australia",Australia,
491,"Thales near  Rydalmere ,  New South Wales,  Australia","Rydalmere ,  New South Wales,  Australia",11,29,"Rydalmere ,  New South Wales",Australia,
576,"Thales near  Singleton,  New South Wales,  Australia","Singleton,  New South Wales,  Australia",10,28,"Singleton,  New South Wales",Australia,
557,"Thales near  South Arm ,  Tasmania,  Australia","South Arm ,  Tasmania,  Australia",11,22,"South Arm ,  Tasmania",Australia,
577,"Thales near  St Marys,  New South Wales,  Australia","St Marys,  New South Wales,  Australia",9,27,"St Marys,  New South Wales",Australia,
580,"Thales near  Townsville,  Queensland,  Australia","Townsville,  Queensland,  Australia",11,24,"Townsville,  Queensland",Australia,
552,"Thales near  Turner,  Australian Capital Territory,  Australia","Turner,  Australian Capital Territory,  Australia",7,38,"Turner,  Australian Capital Territory",Australia,
562,"Thales near  Wallangarra ,  Queensland,  Australia","Wallangarra ,  Queensland,  Australia",13,26,"Wallangarra ,  Queensland",Australia,
582,"Thales near  Williamtown,  New South Wales,  Australia","Williamtown,  New South Wales,  Australia",12,30,"Williamtown,  New South Wales",Australia,
554,"Thales near  Winnellie,  Northern Territory,  Australia","Winnellie,  Northern Territory,  Australia",10,31,"Winnellie,  Northern Territory",Australia,
581,"Thales near  Wollstonecraft,  New South Wales,  Australia","Wollstonecraft,  New South Wales,  Australia",15,33,"Wollstonecraft,  New South Wales",Australia,
480,"Thales near  Vienna,  Vienna,  Austria","Vienna,  Vienna,  Austria",7,16,"Vienna,  Vienna",Austria,
592,"Thales near  Antwerpen,  Vlanderen,  Belgium","Antwerpen,  Vlanderen,  Belgium",10,22,"Antwerpen,  Vlanderen",Belgium,
176,"Thales near  Brussels-Capital,  Brussels,  Belgium","Brussels-Capital,  Brussels,  Belgium",17,28,"Brussels-Capital,  Brussels",Belgium,
595,"Thales near  Charleroi,  Wallonie,  Belgium","Charleroi,  Wallonie,  Belgium",10,21,"Charleroi,  Wallonie",Belgium,
594,"Thales near  Herstal,  Wallonie,  Belgium","Herstal,  Wallonie,  Belgium",8,19,"Herstal,  Wallonie",Belgium,
593,"Thales near  Tubize,  Wallonie,  Belgium","Tubize,  Wallonie,  Belgium",7,18,"Tubize,  Wallonie",Belgium,
179,"Thales near  Rio de Janeiro,  Rio de Janeiro,  Brazil","Rio de Janeiro,  Rio de Janeiro,  Brazil",15,32,"Rio de Janeiro,  Rio de Janeiro",Brazil,
507,"Thales near  Sofia,  Sofia,  Bulgaria","Sofia,  Sofia,  Bulgaria",6,14,"Sofia,  Sofia",Bulgaria,
385,"Thales near  Burnaby,  British Columbia,  Canada","Burnaby,  British Columbia,  Canada",8,27,"Burnaby,  British Columbia",Canada,"4190 Still Creek Drive, Suite 250, Burnaby, British Columbia, Canada, V5C 6C6"
383,"Thales near  Halifax,  Nova Scotia,  Canada","Halifax,  Nova Scotia,  Canada",8,22,"Halifax,  Nova Scotia",Canada,
152,"Thales near  Montréal,  Québec,  Canada","Montréal,  Québec,  Canada",9,18,"Montréal,  Québec",Canada,"2800, Marie-Curie Avenue, Saint-Laurent, Quebec, Canada, H4S 2C2"
150,"Thales near  Ottawa,  Ontario,  Canada","Ottawa,  Ontario,  Canada",7,17,"Ottawa,  Ontario",Canada,"1 Chrysalis Way, Ottawa, Ontario, Canada, K2G 6P9"
151,"Thales near  Québec,  Québec,  Canada","Québec,  Québec,  Canada",7,16,"Québec,  Québec",Canada,
382,"Thales near  Quebec City,  Québec,  Canada","Quebec City,  Québec,  Canada",12,21,"Quebec City,  Québec",Canada,"1405 boulevard du Parc Technologique, Quebec, Quebec, Canada, G1P 4P5"
153,"Thales near  St Laurent,  Québec,  Canada","St Laurent,  Québec,  Canada",11,20,"St Laurent,  Québec",Canada,"4868 Levy Street, Saint-Laurent, Quebec, Canada, H4R 2P1"
384,"Thales near  Toronto,  Ontario,  Canada","Toronto,  Ontario,  Canada",8,18,"Toronto,  Ontario",Canada,"105 Moatfield Drive, Toronto, Ontario, Canada, M3B 0A4"
386,"Thales near  Val-Belair,  Québec,  Canada","Val-Belair,  Québec,  Canada",11,20,"Val-Belair,  Québec",Canada,
182,"Thales near  Santiago,  Metropolitan Region,  Chile","Santiago,  Metropolitan Region,  Chile",9,31,"Santiago,  Metropolitan Region",Chile,
185,"Thales near  Beijing,  Beijing,  China","Beijing,  Beijing,  China",8,18,"Beijing,  Beijing",China,
528,"Thales near  Hong Kong,  Hong Kong,  China","Hong Kong,  Hong Kong,  China",10,22,"Hong Kong,  Hong Kong",China,
530,"Thales near  Kowloon,  Hong Kong,  China","Kowloon,  Hong Kong,  China",8,20,"Kowloon,  Hong Kong",China,
533,"Thales near  Shangai,  Shangai,  China","Shangai,  Shangai,  China",8,18,"Shangai,  Shangai",China,
514,"Thales near  Zagreb,  Zagreb,  Croatia","Zagreb,  Zagreb,  Croatia",7,16,"Zagreb,  Zagreb",Croatia,
498,"Thales near  Prague,  Prague,  Czech Republic","Prague,  Prague,  Czech Republic",7,16,"Prague,  Prague",Czech Republic,
671,"Thales near  Copenhagen,  Hovedstaden,  Denmark","Copenhagen,  Hovedstaden,  Denmark",11,25,"Copenhagen,  Hovedstaden",Denmark,
473,"Thales near  Santo Domingo,  Santo Domingo,  Dominican Republic","Santo Domingo,  Santo Domingo,  Dominican Republic",14,30,"Santo Domingo,  Santo Domingo",Dominican Republic,
188,"Thales near  Cairo,  Lower-Egypt,  Egypt","Cairo,  Lower-Egypt,  Egypt",6,20,"Cairo,  Lower-Egypt",Egypt,
78,"Thales near  Aix,  PACA,  France","Aix,  PACA,  France",4,11,"Aix,  PACA",France,
40,"Thales near  Arcueil,  Région Parisienne,  France","Arcueil,  Région Parisienne,  France",8,28,"Arcueil,  Région Parisienne",France,
250,"Thales near  Aubagne,  PACA,  France","Aubagne,  PACA,  France",8,15,"Aubagne,  PACA",France,
41,"Thales near  Bagneux,  Région Parisienne,  France","Bagneux,  Région Parisienne,  France",8,28,"Bagneux,  Région Parisienne",France,
68,"Thales near  Blagnac,  Sud Ouest,  France","Blagnac,  Sud Ouest,  France",8,20,"Blagnac,  Sud Ouest",France,
69,"Thales near  Bordeaux,  Sud Ouest,  France","Bordeaux,  Sud Ouest,  France",9,21,"Bordeaux,  Sud Ouest",France,
29,"Thales near  Brest,  Bretagne,  France","Brest,  Bretagne,  France",6,17,"Brest,  Bretagne",France,
42,"Thales near  Brétigny sur Orge,  Région Parisienne,  France","Brétigny sur Orge,  Région Parisienne,  France",18,38,"Brétigny sur Orge,  Région Parisienne",France,
70,"Thales near  Brive la gaillarde,  Sud Ouest,  France","Brive la gaillarde,  Sud Ouest,  France",19,31,"Brive la gaillarde,  Sud Ouest",France,
248,"Thales near  Cannes,  PACA,  France","Cannes,  PACA,  France",7,14,"Cannes,  PACA",France,
30,"Thales near  Carquefou,  Pays de la Loire,  France","Carquefou,  Pays de la Loire,  France",10,29,"Carquefou,  Pays de la Loire",France,
43,"Thales near  Cergy Pontoise,  Région Parisienne,  France","Cergy Pontoise,  Région Parisienne,  France",15,35,"Cergy Pontoise,  Région Parisienne",France,
31,"Thales near  Cesson Sévigné,  Bretagne,  France","Cesson Sévigné,  Bretagne,  France",15,26,"Cesson Sévigné,  Bretagne",France,
32,"Thales near  Chateaubourg,  Bretagne,  France","Chateaubourg,  Bretagne,  France",13,24,"Chateaubourg,  Bretagne",France,
35,"Thales near  Châtellerault,  Centre,  France","Châtellerault,  Centre,  France",14,23,"Châtellerault,  Centre",France,
44,"Thales near  Chatou,  Région Parisienne,  France","Chatou,  Région Parisienne,  France",7,27,"Chatou,  Région Parisienne",France,
81,"Thales near  Cholet,  Pays de la Loire,  France","Cholet,  Pays de la Loire,  France",7,26,"Cholet,  Pays de la Loire",France,
45,"Thales near  Colombes,  Région Parisienne,  France","Colombes,  Région Parisienne,  France",9,29,"Colombes,  Région Parisienne",France,
46,"Thales near  Conflans Sainte Honorine,  Région Parisienne,  France","Conflans Sainte Honorine,  Région Parisienne,  France",25,45,"Conflans Sainte Honorine,  Région Parisienne",France,
47,"Thales near  Elancourt,  Région Parisienne,  France","Elancourt,  Région Parisienne,  France",10,30,"Elancourt,  Région Parisienne",France,
667,"Thales near  Etrelles,  Bretagne,  France","Etrelles,  Bretagne,  France",9,20,"Etrelles,  Bretagne",France,
36,"Thales near  Fleury-Orleans,  Centre,  France","Fleury-Orleans,  Centre,  France",15,24,"Fleury-Orleans,  Centre",France,
48,"Thales near  Fontenay aux roses,  Région Parisienne,  France","Fontenay aux roses,  Région Parisienne,  France",19,39,"Fontenay aux roses,  Région Parisienne",France,
73,"Thales near  Grenoble,  Rhône-Alpes,  France","Grenoble,  Rhône-Alpes,  France",9,23,"Grenoble,  Rhône-Alpes",France,
49,"Thales near  Guyancourt,  Région Parisienne,  France","Guyancourt,  Région Parisienne,  France",11,31,"Guyancourt,  Région Parisienne",France,
50,"Thales near  Issy les Moulineaux,  Région Parisienne,  France","Issy les Moulineaux,  Région Parisienne,  France",20,40,"Issy les Moulineaux,  Région Parisienne",France,
51,"Thales near  Jouy en Josas,  Région Parisienne,  France","Jouy en Josas,  Région Parisienne,  France",14,34,"Jouy en Josas,  Région Parisienne",France,
37,"Thales near  La Ferté Saint Aubin,  Centre,  France","La Ferté Saint Aubin,  Centre,  France",21,30,"La Ferté Saint Aubin,  Centre",France,
